,command,intent
0,на лодка катер вправо,move_ship_right
1,мы бултых направо налево,move_ship_right
2,на эскадра направо,move_ship_right
3,плыть мы поплыть направо,move_ship_right
4,я поплыть направо на судно,move_ship_right
5,корабль направо от шаг,move_ship_right
6,на мотор идти врубать восток,move_ship_right
7,на правый лодка,move_ship_right
8,на шлюпка право катер,move_ship_right
9,я грузиться направо,move_ship_right
10,посадка на корабль судно направо,move_ship_right
11,на правый борт борт,move_ship_right
12,я двигаться на направо корабль,move_ship_right
13,мы хороший пойти,move_ship_right
14,я судно направо пойти на корабль,move_ship_right
15,корабль идти я направо,move_ship_right
16,пойти направо я на корабль,move_ship_right
17,я бултых направо на корабль,move_ship_right
18,шаг шажок правый корабль,move_ship_right
19,плохой хороший рулевой,move_ship_right
20,правый палуба борт,move_ship_right
21,посадка на корабельный направо,move_ship_right
22,перемещаться корабль вправо,move_ship_right
23,корабль вправо клетка на,move_ship_right
24,вправо корабль двигаться,move_ship_right
25,я пойти направо,move_ship_right
26,по правый борт,move_ship_right
27,право рулевой,move_ship_right
28,плыть направо,move_ship_right
29,я судно двигаться вправо корабль,move_ship_right
30,направо корабль,move_ship_right
31,направо поплыть мы,move_ship_right
32,приплывать вправо,move_ship_right
33,шаг судно направо от корабль,move_ship_right
34,приплывать отплыть вправо,move_ship_right
35,фрегат направо,move_ship_right
36,отчаливать причаливать направо,move_ship_right
37,врубать мотор идти на гуачжеу,move_ship_right
38,хороший кормчий,move_ship_right
39,с корабль на право палуба,move_ship_right
40,отплыть приплывать вправо,move_ship_right
41,отправляться поехать направо,move_ship_right
42,поплыть мы правый,move_ship_right
43,подвинуть вправо корабль,move_ship_right
44,двигаться корабль вправо,move_ship_right
45,пойти врубать мотор идти на восток,move_ship_right
46,я корабль на поплыть направо,move_ship_right
47,с корабль палуба на право борт,move_ship_right
48,уходить вправо,move_ship_right
49,на борт правый борт,move_ship_right
50,повесть корабль вправо в правый сторона,move_ship_right
51,поплыть мы направо налево,move_ship_right
52,катер на правый лодка,move_ship_right
53,заводить мотор ехать мы на восток,move_ship_right
54,причаливать направо,move_ship_right
55,катер на лодка вправо,move_ship_right
56,судно корабль направо,move_ship_right
57,я на поплыть корабль направо,move_ship_right
58,идти я направо,move_ship_right
59,направо корабль на,move_ship_right
60,я направо идти корабль,move_ship_right
61,я поплыть направо на плыть корабль,move_ship_right
62,я поплыть на плыть корабль направо,move_ship_right
63,я направо пойти корабль на,move_ship_right
64,я перемещаться вправо корабль,move_ship_right
65,я направо побрести на корабль,move_ship_right
66,я бултых на корабль направо,move_ship_right
67,я двигаться на корабль направо,move_ship_right
68,право руль,move_ship_right
69,плыть вправо,move_ship_right
70,мы поплыть направо налево,move_ship_right
71,корабль клеточный вправо на клетка,move_ship_right
72,я судно поплыть направо на корабль,move_ship_right
73,на катер правый лодка,move_ship_right
74,правый трап,move_ship_right
75,право штурвал,move_ship_right
76,судно повернуть корабль направо,move_ship_right
77,завязывать мотор мы ехать на восток,move_ship_right
78,двигатель заводить мотор мы ехать на восток,move_ship_right
79,шлюпка направо,move_ship_right
80,вправо отплывать,move_ship_right
81,поплыть мы направо,move_ship_right
82,корабль вправо на судно клетка,move_ship_right
83,шаг направо от корабль,move_ship_right
84,врубать запад мотор идти на восток,move_ship_right
85,я идти направо пойти корабль,move_ship_right
86,ползти корабль вправо,move_ship_right
87,заводить мотор мы ехать поехать на восток,move_ship_right
88,съездить направо,move_ship_right
89,сторона корабль в правый повесть,move_ship_right
90,судно шаг направо от корабль,move_ship_right
91,шажок шаг правый корабль,move_ship_right
92,с корабль на право трап,move_ship_right
93,я выплывать направо на корабль,move_ship_right
94,щелкнутьтумблер мотор идти на восток,move_ship_right
95,палуба правый борт,move_ship_right
96,подвинуть фрегат вправо,move_ship_right
97,посадка предпосадочный на корабль направо,move_ship_right
98,на двигаться я корабль направо,move_ship_right
99,уплыть вправо,move_ship_right
100,направо отправляться,move_ship_right
101,врубать мотор идти на музона восток,move_ship_right
102,мы отплывать направо,move_ship_right
103,судно на корабль направо,move_ship_right
104,на право фальшборт,move_ship_right
105,на корабль судно направо,move_ship_right
106,уноситься вправо,move_ship_right
107,на правый плоскодонка,move_ship_right
108,лодка на вправо,move_ship_right
109,корабль вправо на эмбриональныйстволовый,move_ship_right
110,пойти мы хороший,move_ship_right
111,мы поплыть плыть направо налево,move_ship_right
112,я корабль направо идти,move_ship_right
113,уплыть плыть вправо,move_ship_right
114,врубать идти мотор на восток,move_ship_right
115,правый рулевой рулевой,move_ship_right
116,по правый штормтрап,move_ship_right
117,направо пляж,move_ship_right
118,я поплыть направо на корабль,move_ship_right
119,двигаться вправо корабль,move_ship_right
120,по правый палуба,move_ship_right
121,палуба с корабль на право борт,move_ship_right
122,направо поплыть мы налево,move_ship_right
123,я причал направо,move_ship_right
124,мы плыть поплыть правый,move_ship_right
125,право румпель,move_ship_right
126,я направо пойти на корабль,move_ship_right
127,на право катер,move_ship_right
128,шаг корабль от направо,move_ship_right
129,поэма корабль в правый сторона,move_ship_right
130,я продвигаться на корабль направо,move_ship_right
131,с корабль по правый борт,move_ship_right
132,я двигаться вправо корабль,move_ship_right
133,хороший рулевой рулевой,move_ship_right
134,я причаливать отчалить направо,move_ship_right
135,я вправо двигаться корабль,move_ship_right
136,катер право на,move_ship_right
137,по борт правый,move_ship_right
138,поехать отправляться направо,move_ship_right
139,причаливать отчаливать направо,move_ship_right
140,мы угребаться направо налево,move_ship_right
141,корабль повернуть направо,move_ship_right
142,корабль направо пойти на я,move_ship_right
143,повесть корабль правый в сторона,move_ship_right
144,повернуть эскадра направо,move_ship_right
145,поплыть я направо на корабль,move_ship_right
146,на корабль направо,move_ship_right
147,мы плыть направо налево,move_ship_right
148,мы плыть поплыть направо,move_ship_right
149,мы поплыть плыть правый,move_ship_right
150,уплывать направо,move_ship_right
151,на катер вправо,move_ship_right
152,отплывать приплывать вправо,move_ship_right
153,направо корабль я на двигаться,move_ship_right
154,повести корабль в правый сторона,move_ship_right
155,рулевой правый рулевой,move_ship_right
156,мы поплыть направо,move_ship_right
157,корвет по правый борт к клетка,move_ship_right
158,рулевой правый,move_ship_right
159,я поплыть на судно направо,move_ship_right
160,пляжный пляж направо,move_ship_right
161,корабль вправо клеточный на клетка,move_ship_right
162,на низкобортный я направо двигаться,move_ship_right
163,эскадра направо,move_ship_right
164,шажок шаг направо от корабль,move_ship_right
165,повесть правый в корабль сторона,move_ship_right
166,шаг направо от фрегат,move_ship_right
167,поплыть плыть направо,move_ship_right
168,я закачаться на корабль направо,move_ship_right
169,корабль направо,move_ship_right
170,корабль на клетка клеточный вправо,move_ship_right
171,мы поехать хороший,move_ship_right
172,мы поплыть правый,move_ship_right
173,клетка вправо на корабль,move_ship_right
174,с корабль на борт право,move_ship_right
175,правый штормтрап,move_ship_right
176,палуба на борт правый борт,move_ship_right
177,правый рулевой,move_ship_right
178,правый борт,move_ship_right
179,по корабль с правый борт,move_ship_right
180,вправо отплыть,move_ship_right
181,заводить мотор мы ехать на восток,move_ship_right
182,я направо идти,move_ship_right
183,восток мотор мы ехать на заводить,move_ship_right
184,я пойти идти направо,move_ship_right
185,я брести направо корабль,move_ship_right
186,я плыть поплыть направо на корабль,move_ship_right
187,правый на лодка,move_ship_right
188,на борт право,move_ship_right
189,мы бултых направо,move_ship_right
190,вправо корабль подвинуть,move_ship_right
191,судно я двигаться на корабль направо,move_ship_right
192,на борт палуба правый борт,move_ship_right
193,посадка на эскадра направо,move_ship_right
194,приплывать направо,move_ship_right
195,я направо двинуться на корабль,move_ship_right
196,качаться направо,move_ship_right
197,с судно корабль на право борт,move_ship_right
198,врубать мотор идти на восток,move_ship_right
199,я брести направо,move_ship_right
200,палуба по правый борт,move_ship_right
201,судно на корабль я направо двигаться,move_ship_right
202,шажочек правый корабль,move_ship_right
203,придвигать подвинуть корабль вправо,move_ship_right
204,с корабль борт правый по,move_ship_right
205,отплывать направо,move_ship_right
206,двигаться корабль я направо на,move_ship_right
207,я направо пойти на низкобортный,move_ship_right
208,повесть корабль судно в правый сторона,move_ship_right
209,мы пойти плохой хороший,move_ship_right
210,на корабль я направо перемещаться,move_ship_right
211,я двигаться на корабль судно направо,move_ship_right
212,загорать направо,move_ship_right
213,на правый ялик,move_ship_right
214,я поплыть на корабль плыть направо,move_ship_right
215,мы уплывать правый,move_ship_right
216,шлюпка вправо на клетка,move_ship_right
217,на направо я корабль двигаться,move_ship_right
218,шхуна направо,move_ship_right
219,мы идти пойти хороший,move_ship_right
220,на баркас вправо,move_ship_right
221,судно направо,move_ship_right
222,судно с корабль по правый борт,move_ship_right
223,я двигаться передвигаться вправо корабль,move_ship_right
224,корабль судно направо,move_ship_right
225,я направо отчалить,move_ship_right
226,я идти направо,move_ship_right
227,заводить мотор мы на ехать восток,move_ship_right
228,поплыть плыть вправо,move_ship_right
229,вправо плыть,move_ship_right
230,корабль правый по борт к клетка,move_ship_right
231,на судно направо,move_ship_right
232,шаг правый корабельный,move_ship_right
233,прекрасный рулевой,move_ship_right
234,я идти корабль направо,move_ship_right
235,с крейсер по правый борт,move_ship_right
236,я отплывать направо,move_ship_right
237,право рулевой руль,move_ship_right
238,с корабль по правый катер,move_ship_right
239,пришвартовываться направо,move_ship_right
240,с право на корабль борт,move_ship_right
241,правый шаг корабль,move_ship_right
242,с корвет на право борт,move_ship_right
243,заведать мотор мы ехать на восток,move_ship_right
244,корабль на фибробласт вправо,move_ship_right
245,я неподвижный вправо корабль,move_ship_right
246,на борт правый боканец,move_ship_right
247,пойти я идти корабль направо,move_ship_right
248,отодвигаться корабль вправо,move_ship_right
249,корабль на судно клетка вправо,move_ship_right
250,на лодка вправо,move_ship_right
251,повернуть судно корабль направо,move_ship_right
252,я поплыть направо корабль на,move_ship_right
253,причаливать вправо,move_ship_right
254,лететь вправо,move_ship_right
255,я двигаться корабль вправо,move_ship_right
256,направо корабль повернуть,move_ship_right
257,пляжик направо,move_ship_right
258,на четырехвесельный вправо,move_ship_right
259,на борт правый шлюпка,move_ship_right
260,повесть вправо корабль в правый сторона,move_ship_right
261,от направо шаг корабль,move_ship_right
262,уплывать вправо,move_ship_right
263,хороший рулевой,move_ship_right
264,на корабль с право борт,move_ship_right
265,посадка направо корабль на,move_ship_right
266,полушаг направо от корабль,move_ship_right
267,подвинуть судно корабль вправо,move_ship_right
268,я ехать направо,move_ship_right
269,направо на корабль посадка,move_ship_right
270,на корабль я направо подвигаться,move_ship_right
271,баркас вправо,move_ship_right
272,мы пойти идти хороший,move_ship_right
273,правый по борт,move_ship_right
274,обзаводиться мотор мы ехать на восток,move_ship_right
275,повёртываться повернуть корабль направо,move_ship_right
276,мы пойти хороший,move_ship_right
277,я двигаться на бриг направо,move_ship_right
278,шаг правый корабль,move_ship_right
279,рулевой право руль,move_ship_right
280,на право буксир,move_ship_right
281,направо отчаливать,move_ship_right
282,мы уходить хороший,move_ship_right
283,отчаливать направо,move_ship_right
284,корабль по правый боканец к клетка,move_ship_right
285,правый гребец,move_ship_right
286,саввагрудцын корабль в правый сторона,move_ship_right
287,корабль на клетка вправо,move_ship_right
288,плыть поплыть направо,move_ship_right
289,на право баркас,move_ship_right
290,на бриг направо,move_ship_right
291,приплывать отплывать вправо,move_ship_right
292,отправляться направо,move_ship_right
293,корабль клетка на вправо,move_ship_right
294,крейсер направо,move_ship_right
295,я идти шлюпка направо,move_ship_right
296,отплывать вправо,move_ship_right
297,плыть мы поплыть правый,move_ship_right
298,врубать карбюратор идти на восток,move_ship_right
299,заводить мотор мы запад ехать на восток,move_ship_right
300,я корабль вправо двигаться,move_ship_right
301,с корабль по судно правый борт,move_ship_right
302,палуба корабль по правый борт к клетка,move_ship_right
303,палуба с корабль по правый борт,move_ship_right
304,мы плыть направо,move_ship_right
305,поплыть вправо,move_ship_right
306,корабль по палуба правый борт к клетка,move_ship_right
307,плыть поплыть вправо,move_ship_right
308,клетка на корабль вправо,move_ship_right
309,на мотор мы ехать заводить восток,move_ship_right
310,шлюпка на право катер,move_ship_right
311,корабль двигаться вправо,move_ship_right
312,борт правый,move_ship_right
313,я двигаться вправо шлюпка,move_ship_right
314,отплыть вправо,move_ship_right
315,по правый корм,move_ship_right
316,двигаться корабль передвигаться вправо,move_ship_right
317,мы пойти сносный,move_ship_right
318,корабль на клеточный клетка вправо,move_ship_right
319,подвинуть корабль вправо,move_ship_right
320,заводить мотор мы восток на ехать,move_ship_right
321,корабль по правый борт к клетка,move_ship_right
322,приземляться на корабль направо,move_ship_right
323,катер направо,move_ship_right
324,направо плыть,move_ship_right
325,на борт борт правый,move_ship_right
326,на посадка корабль направо,move_ship_right
327,мы плыть поплыть направо налево,move_ship_right
328,рулевой хороший,move_ship_right
329,на лодка правый,move_ship_right
330,плыть уплыть вправо,move_ship_right
331,на право борт,move_ship_right
332,корабль вправо на клетка,move_ship_right
333,я идти корвет направо,move_ship_right
334,пляж пляжный направо,move_ship_right
335,борт право на,move_ship_right
336,корабль по правый борт к ,move_ship_right
337,повесть корвет в правый сторона,move_ship_right
338,заводить бензиновый мы ехать на восток,move_ship_right
339,шаг корабль правый,move_ship_right
340,пойти я идти направо корабль,move_ship_right
341,руль право,move_ship_right
342,я двинуться направо корабль,move_ship_right
343,на передвигаться корабль я направо двигаться,move_ship_right
344,я идти судно направо,move_ship_right
345,палуба на право борт,move_ship_right
346,корабль на направо,move_ship_right
347,причаливать я отчалить направо,move_ship_right
348,отчалить я направо,move_ship_right
349,круто корабль направо,move_ship_right
350,правый кормчий,move_ship_right
351,направо поплыть на корабль я,move_ship_right
352,бриг направо,move_ship_right
353,я идти пойти направо,move_ship_right
354,заводить ехать мы мотор на восток,move_ship_right
355,с корабль по правый шлюпка,move_ship_right
356,поворот правый корабль,move_ship_right
357,вправо уплыть,move_ship_right
358,я поплыть на корабль направо,move_ship_right
359,на право шлюпка,move_ship_right
360,на палуба право борт,move_ship_right
361,на корабль я направо двигаться,move_ship_right
362,мы отплывать правый,move_ship_right
363,я отчалить направо,move_ship_right
364,повернуть корабельный направо,move_ship_right
365,право педальакселератор,move_ship_right
366,корвет направо,move_ship_right
367,повернуть корабль направо,move_ship_right
368,направо судно,move_ship_right
369,на правый баркас,move_ship_right
370,мы выплывать правый,move_ship_right
371,корабль по к борт правый клетка,move_ship_right
372,пляж направо,move_ship_right
373,я судно двигаться на корабль направо,move_ship_right
374,пододвигать корабль вправо,move_ship_right
375,правый вахтенный,move_ship_right
376,шаг направо от шлюпка,move_ship_right
377,заводить мотор мы двигатель ехать на восток,move_ship_right
378,уносить вправо,move_ship_right
379,с корабль на право борт,move_ship_right
380,пойти я идти направо,move_ship_right
381,посадка на корабль направо,move_ship_right
382,заводить мотор мы ехать на двигатель восток,move_ship_right
383,правый борт на борт,move_ship_right
384,я идти направо корабль,move_ship_right
385,судно двигаться корабль вправо,move_ship_right
386,поехать направо,move_ship_right
387,я пойти идти корабль направо,move_ship_right
388,идти мотор врубать на восток,move_ship_right
389,корабль по правый борт клетка к,move_ship_right
390,по правый палуба борт,move_ship_right
391,заводить мотор мы везти на восток,move_ship_right
392,корабль вправо на плазматическиймембрать,move_ship_right
393,корабль на вправо клетка,move_ship_right
394,я двигаться на корабельный направо,move_ship_right
395,на палуба борт правый борт,move_ship_right
396,корвет на клетка вправо,move_ship_right
397,двигаться крейсер вправо,move_ship_right
398,я поплыть судно на корабль направо,move_ship_right
399,право на катер,move_ship_right
400,я бежать направо корабль,move_ship_right
401,идти я направо пойти на корабль,move_ship_right
402,судно я двигаться вправо корабль,move_ship_right
403,ехать мы на восток,move_ship_right
404,мы ехать на востоко,move_ship_right
405,мы ехать запад на восток,move_ship_right
406,мы доезжать на восток,move_ship_right
407,мы ехать на восток,move_ship_right
408,мы на ехать восток,move_ship_right
409,запад мы ехать на восток,move_ship_right
410,мы ехать на север,move_ship_right
411,мы ехать поехать на восток,move_ship_right
412,мы ехать восток на,move_ship_right
413,уплыть влеввый,move_ship_left
414,на левый судно корабль,move_ship_left
415,плыть влеввыя,move_ship_left
416,мы поплыть плыть налево,move_ship_left
417,корвет влево на клетка,move_ship_left
418,я идти пойти налево корабль,move_ship_left
419,налево полечить на корабль я,move_ship_left
420,мотор заводить мы поехать на запад,move_ship_left
421,левый стояночныйтормоз,move_ship_left
422,судно корабль налево,move_ship_left
423,плыть поплыть влево,move_ship_left
424,подвинуть корабль влево,move_ship_left
425,влево двигаться я корабль,move_ship_left
426,я двигаться влево бриг,move_ship_left
427,на катер лодка налево,move_ship_left
428,уходить влево,move_ship_left
429,мы закачаться налево,move_ship_left
430,левый руль,move_ship_left
431,переваливаться корабль влево,move_ship_left
432,шаг влево от катер,move_ship_left
433,фрегат налево,move_ship_left
434,заводить мотор мы поехать на запад,move_ship_left
435,слева от корабль,move_ship_left
436,я двигаться на корабельный влево,move_ship_left
437,я налево отплывать,move_ship_left
438,шхуна налево,move_ship_left
439,педаль слева,move_ship_left
440,поплыть налево,move_ship_left
441,я идти корабль налево,move_ship_left
442,я двигаться влево на корабль,move_ship_left
443,налево корабль на,move_ship_left
444,идти мотор врубать на запад,move_ship_left
445,на борт левый катер,move_ship_left
446,влеввыя уплыть,move_ship_left
447,лететь налево,move_ship_left
448,я налево идти корабль,move_ship_left
449,шаг судно левый корабль,move_ship_left
450,я пойти на корабельный влево,move_ship_left
451,передвинить корабль в левый тотем,move_ship_left
452,я двигаться корабль влево,move_ship_left
453,я полечить на бриг налево,move_ship_left
454,мы поплыть налево,move_ship_left
455,плыть уплыть влево,move_ship_left
456,плыть налево,move_ship_left
457,приплывать влево,move_ship_left
458,мы выплывать на левый сторона,move_ship_left
459,я идти на корабль влево,move_ship_left
460,корабль полечить на я налево,move_ship_left
461,корабль влево клетка на,move_ship_left
462,повести корабль в левый сторона,move_ship_left
463,я полечить на шлюпка налево,move_ship_left
464,заводить мотор мы выезжать на запад,move_ship_left
465,на двигаться влево я корабль,move_ship_left
466,на борт левый борт,move_ship_left
467,на катер левый лодка,move_ship_left
468,я двигаться влево судно,move_ship_left
469,заводить поехать мы мотор на запад,move_ship_left
470,заводить мотор на ехать мы запад,move_ship_left
471,передвинуть переставлять корабль влево,move_ship_left
472,подвинуть корабль придвигать влево,move_ship_left
473,мы проплывать налево,move_ship_left
474,мы левый пойти,move_ship_left
475,налево отчаливать,move_ship_left
476,на пойти я корабль влево,move_ship_left
477,полагать корабль влево,move_ship_left
478,я идти фрегат налево,move_ship_left
479,нестись налево,move_ship_left
480,на левый борт,move_ship_left
481,заводить мотор мы ехать на юговосток,move_ship_left
482,шаг корабль от влево,move_ship_left
483,повесть корабль в судно левый сторона,move_ship_left
484,левый рулевой,move_ship_left
485,фрегат влево на клетка,move_ship_left
486,корабль клетка на влево,move_ship_left
487,я двигаться влево судно корабль,move_ship_left
488,я идти судно корабль налево,move_ship_left
489,передвинить корабль в вправо левый сторона,move_ship_left
490,я двигаться корабль на влево,move_ship_left
491,я идти бриг налево,move_ship_left
492,я налево отчалить,move_ship_left
493,передвигаться корабль влево,move_ship_left
494,налево плыть я,move_ship_left
495,уноситься влево,move_ship_left
496,я полечить на налево корабль,move_ship_left
497,эскадра налево,move_ship_left
498,судно я двигаться на корабль влево,move_ship_left
499,передвинуть корабль судно влево,move_ship_left
500,шаг левый корабль,move_ship_left
501,влево шаг от корабль,move_ship_left
502,отправлять влево,move_ship_left
503,слева корабль,move_ship_left
504,судно налево,move_ship_left
505,левый рулевой руль,move_ship_left
506,судно шаг влево от корабль,move_ship_left
507,налево поплыть мы,move_ship_left
508,левый шаг корабль,move_ship_left
509,я двигаться влево фрегат,move_ship_left
510,слева от судно корабль,move_ship_left
511,я полечить лечить налево на корабль,move_ship_left
512,корабль на эмбриональныйстволовый влево,move_ship_left
513,пароход налево,move_ship_left
514,улетать влево,move_ship_left
515,повесть корабль в сторона левый,move_ship_left
516,гащивать на запад,move_ship_left
517,поплыть я плыть налево,move_ship_left
518,отправляться поехать влево,move_ship_left
519,налево корабль,move_ship_left
520,левый штурвал,move_ship_left
521,я брести налево корабль,move_ship_left
522,я двигаться передвигаться влево на корабль,move_ship_left
523,корабль повесть в левый сторона,move_ship_left
524,корабль клеточный на клетка влево,move_ship_left
525,двигаться я на корабль влево,move_ship_left
526,я налево качаться,move_ship_left
527,левый поплыть на мы сторона,move_ship_left
528,лечить я полечить на корабль налево,move_ship_left
529,езжать на гуачжеу,move_ship_left
530,давать запад на давать,move_ship_left
531,корабль влево на флэча,move_ship_left
532,корабль судно на клетка влево,move_ship_left
533,влево уплыть,move_ship_left
534,я двигаться на фрегат влево,move_ship_left
535,заводить заводиться мотор мы ехать на запад,move_ship_left
536,давать надавать на запад,move_ship_left
537,я полечить судно на корабль налево,move_ship_left
538,я пойти влево корабль на,move_ship_left
539,рулевой левый рулевой,move_ship_left
540,давать васяпиисхадитество на запад,move_ship_left
541,шмурыгивать корабль влево,move_ship_left
542,руль левый,move_ship_left
543,корабль налево,move_ship_left
544,причаливать отчаливать налево,move_ship_left
545,получать давать давать на запад,move_ship_left
546,я идти судно налево корабль,move_ship_left
547,отчаливать налево,move_ship_left
548,на налево корабль,move_ship_left
549,поплыть плыть влево,move_ship_left
550,заводить мотор мы ехать на запад,move_ship_left
551,шаг влево от крейсер,move_ship_left
552,корабль судно слева,move_ship_left
553,на налево лодка,move_ship_left
554,передвигаться двигаться корабль влево,move_ship_left
555,мы выплывать налево,move_ship_left
556,я двигаться влево корабль на,move_ship_left
557,на плот налево,move_ship_left
558,я на влево двигаться корабль,move_ship_left
559,корабль на влево клетка,move_ship_left
560,на полечить налево я корабль,move_ship_left
561,мы плыть на левый сторона,move_ship_left
562,приплывать налево,move_ship_left
563,шашни мотор мы ехать на запад,move_ship_left
564,поплыть плыть налево,move_ship_left
565,влево корабль двигаться,move_ship_left
566,левый пойти мы,move_ship_left
567,рулевой левый руль,move_ship_left
568,езжать восток на запад,move_ship_left
569,врубать дизельный идти на запад,move_ship_left
570,идти мы пойти левый,move_ship_left
571,подвинуть корабль судно влево,move_ship_left
572,крейсер влево на клетка,move_ship_left
573,я поплыть плыть налево,move_ship_left
574,катер слева,move_ship_left
575,руль слева,move_ship_left
576,я двигаться на корабль судно влево,move_ship_left
577,мы понестись левый,move_ship_left
578,пришвартовываться налево,move_ship_left
579,я идти налево корабль,move_ship_left
580,передвинуть корабль переставлять влево,move_ship_left
581,мы пойти идти левый,move_ship_left
582,мы пойти левый,move_ship_left
583,я поплыть налево плыть,move_ship_left
584,передвинить корабль левый в сторона,move_ship_left
585,я идти пойти корабль налево,move_ship_left
586,проплывать влеввыя,move_ship_left
587,на левый лодка,move_ship_left
588,на левый низкобортный,move_ship_left
589,ездить на запад,move_ship_left
590,на лодка налево,move_ship_left
591,давать давать на запад,move_ship_left
592,я судно двигаться влево на корабль,move_ship_left
593,я корабль влево двигаться,move_ship_left
594,я двигаться влево корабль,move_ship_left
595,судно я двигаться влево корабль,move_ship_left
596,автобиографический корабль в левый сторона,move_ship_left
597,мы выплывать левый,move_ship_left
598,передвинить корабль в левый судно сторона,move_ship_left
599,корабль судно налево,move_ship_left
600,шлюпка налево,move_ship_left
601,судно я идти налево корабль,move_ship_left
602,я бежать корабль налево,move_ship_left
603,заводить мотор на поехать мы запад,move_ship_left
604,корабль левый шаг,move_ship_left
605,восток врубать мотор идти на запад,move_ship_left
606,судно повесть корабль в левый сторона,move_ship_left
607,плавать влево,move_ship_left
608,я двинуться на корабль влево,move_ship_left
609,я полечить налево на корабль,move_ship_left
610,мы поплыть левый,move_ship_left
611,влево корабль подвинуть,move_ship_left
612,сторона корабль в левый передвинить,move_ship_left
613,я полечить на крейсер налево,move_ship_left
614,шаг левый крейсер,move_ship_left
615,судно на корабль налево,move_ship_left
616,рулевой руль слева,move_ship_left
617,езжать на запад,move_ship_left
618,мы плыть поплыть налево,move_ship_left
619,на лодка катер налево,move_ship_left
620,на шлюпка налево,move_ship_left
621,мы двинуться левый,move_ship_left
622,катер на левый лодка,move_ship_left
623,я двигаться на судно корабль влево,move_ship_left
624,шаг влево от корабль,move_ship_left
625,плыть я налево,move_ship_left
626,на палуба борт левый борт,move_ship_left
627,я грузиться налево,move_ship_left
628,левый водитель,move_ship_left
629,шаг левый шажок корабль,move_ship_left
630,судно слева от корабль,move_ship_left
631,пододвигать корабль влево,move_ship_left
632,ехать мотор мы заводить на запад,move_ship_left
633,повесть левый в корабль сторона,move_ship_left
634,плывать влево,move_ship_left
635,я двинуться налево корабль,move_ship_left
636,на судно корабль налево,move_ship_left
637,я отплывать налево,move_ship_left
638,штурвал слева,move_ship_left
639,на левый катер,move_ship_left
640,уплыть плыть влеввыя,move_ship_left
641,запад на езжать,move_ship_left
642,я проплывать налево,move_ship_left
643,на левый шлюпка,move_ship_left
644,я двигаться на корабль влево,move_ship_left
645,уплыть плыть влево,move_ship_left
646,я судно пойти на корабль влево,move_ship_left
647,мы мотор заводить ехать на запад,move_ship_left
648,мы вправо поплыть на левый сторона,move_ship_left
649,левый педальакселератор,move_ship_left
650,заводить мотор мы поехать на ехать запад,move_ship_left
651,левый шофер,move_ship_left
652,корвет налево,move_ship_left
653,мы плыть поплыть на левый сторона,move_ship_left
654,влево корабль передвинуть,move_ship_left
655,мы идти пойти левый,move_ship_left
656,налево судно,move_ship_left
657,влево плыть,move_ship_left
658,корабль идти налево я,move_ship_left
659,врубать мотор пойти идти на запад,move_ship_left
660,корабль на клетка судно влево,move_ship_left
661,передвинуть катер влево,move_ship_left
662,шаг влево от судно,move_ship_left
663,на левый корабль,move_ship_left
664,на палуба левый борт,move_ship_left
665,уплыть влеввыя,move_ship_left
666,подвинуть судно влево,move_ship_left
667,заводить мотор мы заводиться ехать на запад,move_ship_left
