,command,intent
0,подвинь корабль влево,корабль влево
1,плыви налево,корабль влево
2,плыву влево,корабль влево
3,двигаюсь кораблем влево,корабль влево
4,лево руля,корабль влево
5,уплыви влевво,корабль влево
6,отчаливаю налево,корабль влево
7,судно налево,корабль влево
8,мы поплывем левее,корабль влево
9,на лодке налево,корабль влево
10,врубай мотор идем на запад,корабль влево
11,кораблем налево,корабль влево
12,я иду кораблем налево,корабль влево
13,корабль на клетку влево,корабль влево
14,шаг левее кораблем,корабль влево
15,Корабль налево.,корабль влево
16,Шаг влево от корабля,корабль влево
17,Плыви налево.,корабль влево
18,Мы поплывем налево.,корабль влево
19,Заводи мотор. Мы едем на запад.,корабль влево
20,Я полечу на корабле налево.,корабль влево
21,Я двигаюсь на корабле влево.,корабль влево
22,Передвиньте корабль влево.,корабль влево
23,Плыви влево,корабль влево
24,На корабле налево.,корабль влево
25,Я плыву налево.,корабль влево
26,На борту левого борта.,корабль влево
27,Руль слева,корабль влево
28,Корабль слева.,корабль влево
29,Отправляюсь влево,корабль влево
30,подвинуть большой корабль корабль влево,корабль влево
31,подвинуть сдвинуть корабль влево,корабль влево
32,подвинуть сдвинуть подвинуть корабль влево,корабль влево
33,подвинуть влево корабль,корабль влево
34,подвинуть пилотировать летательный аппарат влево,корабль влево
35,подвинуть корабль подвинуть сдвинуть влево,корабль влево
36,подвинуть корабль влево,корабль влево
37,корабль подвинуть влево,корабль влево
38,плыть плавный движение налево,корабль влево
39,плавный движение плыть налево,корабль влево
40,плавный движение налево,корабль влево
41,налево плыть,корабль влево
42,плыть налево,корабль влево
43,плыть передвигаться по вода налево,корабль влево
44,плавный движение влево,корабль влево
45,плыть плавный движение влево,корабль влево
46,плыть влево,корабль влево
47,влево плыть,корабль влево
48,плавный движение плыть влево,корабль влево
49,плыть передвигаться по вода влево,корабль влево
50,плыть на судно влево,корабль влево
51,двигаться большой корабль влево,корабль влево
52,шевелиться изменять положение тело двигаться корабль влево,корабль влево
53,двигаться влево корабль,корабль влево
54,двигаться большой корабль корабль влево,корабль влево
55,двигаться корабль влево,корабль влево
56,корабль двигаться влево,корабль влево
57,левый руль руль,корабль влево
58,руль левый,корабль влево
59,левый руль,корабль влево
60,левый сторона руль,корабль влево
61,руль левый руль,корабль влево
62,влеввыя уплыть,корабль влево
63,течение время влеввыя,корабль влево
64,уплыть течение время влеввыя,корабль влево
65,уплыть влеввый,корабль влево
66,уплыть удалиться влеввыя,корабль влево
67,налево отчаливать,корабль влево
68,отчаливать налево,корабль влево
69,отчалить сняться с якорь отчаливать налево,корабль влево
70,отчаливать отчалить сняться с якорь налево,корабль влево
71,отчалить сняться с якорь налево,корабль влево
72,судно водный средство транспорт налево,корабль влево
73,налево судно,корабль влево
74,подкладной судно налево,корабль влево
75,водный средство транспорт налево,корабль влево
76,водный средство транспорт судно налево,корабль влево
77,поплыть мы левый,корабль влево
78,мы поплыть левый сторона,корабль влево
79,мы левый поплыть,корабль влево
80,мы левый сторона поплыть левый,корабль влево
81,мы поплыть левый сторона левый,корабль влево
82,мы плавный движение левый,корабль влево
83,левый поплыть мы,корабль влево
84,мы плавный движение поплыть левый,корабль влево
85,мы поплыть левый,корабль влево
86,на лодка налево,корабль влево
87,налево лодка на,корабль влево
88,на подводный лодка лодка налево,корабль влево
89,подводный лодка на лодка налево,корабль влево
90,лодка на налево,корабль влево
91,на лодка подводный лодка налево,корабль влево
92,на подводный лодка налево,корабль влево
93,врубать мотор идти запад на запад,корабль влево
94,включение устройство мотор идти на запад,корабль влево
95,врубать мотор идти идти работа устройство на запад,корабль влево
96,врубать идти мотор на запад,корабль влево
97,запад мотор идти на врубать,корабль влево
98,врубать мотор идти на запад,корабль влево
99,врубать мотор идти на запад макрорегион,корабль влево
100,врубать мотор идти на западный местность,корабль влево
101,врубать мотор идти включение устройство на запад,корабль влево
102,врубать на идти мотор запад,корабль влево
103,пилотировать летательный аппарат налево,корабль влево
104,корабль большой корабль налево,корабль влево
105,налево корабль,корабль влево
106,корабль налево,корабль влево
107,я идти идти работа устройство корабль налево,корабль влево
108,я идти пилотировать летательный аппарат налево,корабль влево
109,я идти большой корабль корабль налево,корабль влево
110,я идти корабль налево,корабль влево
111,я корабль идти налево,корабль влево
112,налево идти корабль я,корабль влево
113,я идти нога корабль налево,корабль влево
114,идти я корабль налево,корабль влево
115,корабль клетка узор на клетка влево,корабль влево
116,корабль на клетка узор клетка влево,корабль влево
117,корабль на клетка организм влево,корабль влево
118,корабль на клетка квадрат влево,корабль влево
119,корабль на большой корабль клетка влево,корабль влево
120,влево на клетка корабль,корабль влево
121,корабль на клетка влево,корабль влево
122,корабль клетка на влево,корабль влево
123,шаг левый пилотировать летательный аппарат,корабль влево
124,большой корабль шаг левый корабль,корабль влево
125,шаг звук шаг левый корабль,корабль влево
126,шаг левый сторона корабль,корабль влево
127,левый шаг корабль,корабль влево
128,шаг левый корабль,корабль влево
129,шаг корабль левый,корабль влево
130,шаг левый сторона левый корабль,корабль влево
131,большой корабль корабль налево,корабль влево
132,корабль влево от шаг,корабль влево
133,этап процесс влево от корабль,корабль влево
134,шагнуть сделать шаг влево от корабль,корабль влево
135,шаг большой корабль влево от корабль,корабль влево
136,шаг влево корабль от,корабль влево
137,шаг корабль от влево,корабль влево
138,шаг влево от корабль,корабль влево
139,шаг звук шаг влево от корабль,корабль влево
140,шаг влево от большой корабль корабль,корабль влево
141,поступь походка влево от корабль,корабль влево
142,плыть на судно налево,корабль влево
143,мы поплыть плавный движение налево,корабль влево
144,налево поплыть мы,корабль влево
145,мы плавный движение налево,корабль влево
146,мы плыть передвигаться по вода налево,корабль влево
147,плавный движение мы поплыть налево,корабль влево
148,мы плавный движение поплыть налево,корабль влево
149,мы поплыть налево,корабль влево
150,мы налево поплыть,корабль влево
151,ввести привести заводить мотор мы ехать на запад,корабль влево
152,заводить ехать двигаться при помощь средство передвижение мотор мы ехать на запад,корабль влево
153,заводить мотор мы на ехать запад,корабль влево
154,заводить мотор мы ехать на западный местность,корабль влево
155,завести механизм устройство мотор мы ехать на запад,корабль влево
156,заводить мотор мы ехать на запад,корабль влево
157,заводить мотор мы ехать двигаться при помощь средство передвижение ехать на запад,корабль влево
158,на мотор мы ехать заводить запад,корабль влево
159,заводить ехать мы мотор на запад,корабль влево
160,заводить двигатель мы ехать на запад,корабль влево
161,я полечить на большой корабль корабль налево,корабль влево
162,я лечение на корабль налево,корабль влево
163,я полечить большой корабль на корабль налево,корабль влево
164,я полечить на большой корабль налево,корабль влево
165,большой корабль я полечить на корабль налево,корабль влево
166,полечить я на корабль налево,корабль влево
167,я полечить налево корабль на,корабль влево
168,я полечить на налево корабль,корабль влево
169,я полечить на корабль налево,корабль влево
170,большой корабль я двигаться на корабль влево,корабль влево
171,я двигаться на пилотировать летательный аппарат влево,корабль влево
172,я двигаться корабль на влево,корабль влево
173,я двигаться на большой корабль влево,корабль влево
174,я двигаться влево корабль на,корабль влево
175,я двигаться на корабль влево,корабль влево
176,я двигаться на большой корабль корабль влево,корабль влево
177,я большой корабль двигаться на корабль влево,корабль влево
178,корабль передвинуть влево,корабль влево
179,передвинуть пилотировать летательный аппарат влево,корабль влево
180,передвинуть большой корабль корабль влево,корабль влево
181,передвинуть корабль влево,корабль влево
182,перенос на другой время передвинуть корабль влево,корабль влево
183,влево корабль передвинуть,корабль влево
184,двигать перемещать корабль влево,корабль влево
185,передвинуть корабль большой корабль влево,корабль влево
186,налево корабль на,корабль влево
187,на налево корабль,корабль влево
188,на корабль налево,корабль влево
189,на корабль большой корабль налево,корабль влево
190,на большой корабль налево,корабль влево
191,корабль на налево,корабль влево
192,на пилотировать летательный аппарат налево,корабль влево
193,большой корабль на корабль налево,корабль влево
194,я плавный движение налево,корабль влево
195,я плыть на судно налево,корабль влево
196,налево плыть я,корабль влево
197,я плыть налево,корабль влево
198,я плыть плавный движение налево,корабль влево
199,плавный движение я плыть налево,корабль влево
200,я налево плыть,корабль влево
201,плыть я налево,корабль влево
202,на борт борт левый,корабль влево
203,на борт левый сторона борт,корабль влево
204,на борт левый сторона левый борт,корабль влево
205,на борт левый летательный аппарат,корабль влево
206,борт на левый борт,корабль влево
207,на борт левый бортовый стенка борт,корабль влево
208,на борт левый бортовый стенка,корабль влево
209,на борт левый борт,корабль влево
210,слева руль,корабль влево
211,руль руль слева,корабль влево
212,руль слева,корабль влево
213,корабль слева,корабль влево
214,слева корабль,корабль влево
215,большой корабль слева,корабль влево
216,корабль большой корабль слева,корабль влево
217,пилотировать летательный аппарат слева,корабль влево
218,большой корабль корабль слева,корабль влево
219,влево отправляться,корабль влево
220,отправляться влево,корабль влево
221,отправляться опереться на иметься влево,корабль влево
222,опереться на иметься влево,корабль влево
223,подвинь корабль вправо,корабль вправо
224,плыви вправо,корабль вправо
225,плыву направо,корабль вправо
226,двигаюсь кораблем вправо,корабль вправо
227,право руля,корабль вправо
228,уплыви вправо,корабль вправо
229,отчаливаю направо,корабль вправо
230,судно направо,корабль вправо
231,мы поплывем правее,корабль вправо
232,на лодке вправо,корабль вправо
233,врубай мотор идем на восток,корабль вправо
234,кораблем направо,корабль вправо
235,я иду кораблем направо,корабль вправо
236,корабль на клетку вправо,корабль вправо
237,шаг правее кораблем,корабль вправо
238,Правый рулевой,корабль вправо
239,Я поплыву на корабле направо.,корабль вправо
240,Отплывать вправо,корабль вправо
241,Мы поплывем направо.,корабль вправо
242,Плыву направо.,корабль вправо
243,Заводи мотор. Мы едем на восток.,корабль вправо
244,Шаг направо от корабля,корабль вправо
245,Я двигаюсь на корабле направо.,корабль вправо
246,Плыви направо.,корабль вправо
247,По правому борту,корабль вправо
248,С кораблём по правому борту,корабль вправо
249,Корабль направо.,корабль вправо
250,На борту правого борта.,корабль вправо
251,Отправляюсь направо.,корабль вправо
252,Поверни корабль направо.,корабль вправо
253,вправо корабль подвинуть,корабль вправо
254,подвинуть сдвинуть корабль вправо,корабль вправо
255,подвинуть корабль вправо,корабль вправо
256,подвинуть большой корабль корабль вправо,корабль вправо
257,большой корабль подвинуть корабль вправо,корабль вправо
258,корабль подвинуть вправо,корабль вправо
259,плыть передвигаться по вода вправо,корабль вправо
260,плыть плавный движение вправо,корабль вправо
261,плыть вправо,корабль вправо
262,вправо плыть,корабль вправо
263,плавный движение плыть вправо,корабль вправо
264,плыть на судно вправо,корабль вправо
265,плыть на судно направо,корабль вправо
266,плыть плавный движение направо,корабль вправо
267,направо плыть,корабль вправо
268,плыть направо,корабль вправо
269,плыть передвигаться по вода направо,корабль вправо
270,плавный движение плыть направо,корабль вправо
271,вправо корабль двигаться,корабль вправо
272,двигаться корабль вправо,корабль вправо
273,двигаться большой корабль корабль вправо,корабль вправо
274,шевелиться изменять положение тело двигаться корабль вправо,корабль вправо
275,двигаться вправо корабль,корабль вправо
276,движение перемещение корабль вправо,корабль вправо
277,двигаться большой корабль вправо,корабль вправо
278,двигаться корабль шевелиться изменять положение тело вправо,корабль вправо
279,право руль руль,корабль вправо
280,руль право,корабль вправо
281,право руль,корабль вправо
282,руль право руль,корабль вправо
283,уплыть удалиться вправо,корабль вправо
284,уплыть вправо,корабль вправо
285,течение время вправо,корабль вправо
286,течение время уплыть вправо,корабль вправо
287,вправо уплыть,корабль вправо
288,уплыть течение время вправо,корабль вправо
289,отчаливать направо,корабль вправо
290,отчаливать отчалить сняться с якорь направо,корабль вправо
291,отчалить сняться с якорь направо,корабль вправо
292,направо отчаливать,корабль вправо
293,отчалить сняться с якорь отчаливать направо,корабль вправо
294,подкладной судно направо,корабль вправо
295,направо судно,корабль вправо
296,водный средство транспорт направо,корабль вправо
297,судно водный средство транспорт направо,корабль вправо
298,водный средство транспорт судно направо,корабль вправо
299,мы плавный движение правый,корабль вправо
300,мы поплыть невиновность правый,корабль вправо
301,мы плавный движение поплыть правый,корабль вправо
302,мы правый поплыть,корабль вправо
303,мы поплыть правый,корабль вправо
304,невиновность мы поплыть правый,корабль вправо
305,правый поплыть мы,корабль вправо
306,мы плыть на судно правый,корабль вправо
307,вправо лодка на,корабль вправо
308,подводный лодка на лодка вправо,корабль вправо
309,лодка на вправо,корабль вправо
310,на лодка подводный лодка вправо,корабль вправо
311,на лодка вправо,корабль вправо
312,на подводный лодка вправо,корабль вправо
313,врубать мотор произойти случиться на восток,корабль вправо
314,врубать мотор идти на восток,корабль вправо
315,врубать восток мотор идти на восток,корабль вправо
316,врубать мотор идти на двигатель восток,корабль вправо
317,врубать мотор идти восток на,корабль вправо
318,включение устройство мотор идти на восток,корабль вправо
319,идти работа устройство врубать мотор идти на восток,корабль вправо
320,на мотор идти врубать восток,корабль вправо
321,врубать мотор восток на идти,корабль вправо
322,большой корабль корабль направо,корабль вправо
323,корабль большой корабль направо,корабль вправо
324,направо корабль,корабль вправо
325,пилотировать летательный аппарат направо,корабль вправо
326,корабль направо,корабль вправо
327,я идти идти работа устройство корабль направо,корабль вправо
328,я произойти случиться корабль направо,корабль вправо
329,я направо корабль идти,корабль вправо
330,я идти корабль большой корабль направо,корабль вправо
331,я большой корабль идти корабль направо,корабль вправо
332,я идти корабль направо,корабль вправо
333,я ехать двигаться о средство передвижение корабль направо,корабль вправо
334,я посетить прийти побывать корабль направо,корабль вправо
335,корабль идти я направо,корабль вправо
336,идти я корабль направо,корабль вправо
337,корабль на клетка большой корабль вправо,корабль вправо
338,большой корабль на клетка вправо,корабль вправо
339,вправо на клетка корабль,корабль вправо
340,корабль на клетка вправо,корабль вправо
341,корабль на большой корабль клетка вправо,корабль вправо
342,корабль на клетка для животное вправо,корабль вправо
343,корабль на вправо клетка,корабль вправо
344,корабль клетка узор на клетка вправо,корабль вправо
345,шаг правый большой корабль корабль,корабль вправо
346,невиновность шаг правый корабль,корабль вправо
347,шаг корабль правый,корабль вправо
348,этап процесс правый корабль,корабль вправо
349,шаг невиновность правый корабль,корабль вправо
350,корабль правый шаг,корабль вправо
351,шаг правый корабль,корабль вправо
352,правый рулевой,корабль вправо
353,правый руль рулевой,корабль вправо
354,невиновность правый рулевой,корабль вправо
355,правый рулевой на судно,корабль вправо
356,правый невиновность рулевой,корабль вправо
357,правый руль,корабль вправо
358,рулевой правый,корабль вправо
359,поплыть я на корабль направо,корабль вправо
360,я поплыть на большой корабль корабль направо,корабль вправо
361,я плыть на судно на корабль направо,корабль вправо
362,на поплыть я корабль направо,корабль вправо
363,я поплыть на корабль направо,корабль вправо
364,я плыть передвигаться по вода на корабль направо,корабль вправо
365,большой корабль я поплыть на корабль направо,корабль вправо
366,я большой корабль поплыть на корабль направо,корабль вправо
367,отплывать отплыть отправиться в плавание вправо,корабль вправо
368,отплыть отправиться в плавание вправо,корабль вправо
369,отплывать вправо,корабль вправо
370,вправо отплывать,корабль вправо
371,направо поплыть мы,корабль вправо
372,мы поплыть плавный движение направо,корабль вправо
373,мы плыть на судно направо,корабль вправо
374,поплыть мы направо,корабль вправо
375,мы плыть передвигаться по вода направо,корабль вправо
376,мы плавный движение поплыть направо,корабль вправо
377,плавный движение мы поплыть направо,корабль вправо
378,мы направо поплыть,корабль вправо
379,мы поплыть направо,корабль вправо
380,завести механизм устройство мотор мы ехать на восток,корабль вправо
381,заводить мотор восток ехать на мы,корабль вправо
382,двигатель заводить мотор мы ехать на восток,корабль вправо
383,заводить мотор мы ехать на восток макрорегион,корабль вправо
384,заводить мотор мы ехать на восток,корабль вправо
385,заводить мотор на ехать мы восток,корабль вправо
386,заводить восток мотор мы ехать на восток,корабль вправо
387,ввести привести заводить мотор мы ехать на восток,корабль вправо
388,от направо шаг корабль,корабль вправо
389,звук шаг шаг направо от корабль,корабль вправо
390,шаг направо большой корабль от корабль,корабль вправо
391,шаг направо от пилотировать летательный аппарат,корабль вправо
392,шаг направо звук шаг от корабль,корабль вправо
393,шаг направо от большой корабль,корабль вправо
394,шаг от направо корабль,корабль вправо
395,шаг направо от корабль,корабль вправо
396,корабль двигаться на я направо,корабль вправо
397,я двигаться на корабль направо,корабль вправо
398,я большой корабль двигаться на корабль направо,корабль вправо
399,я шевелиться изменять положение тело двигаться на корабль направо,корабль вправо
400,я двигаться направо корабль на,корабль вправо
401,на двигаться я корабль направо,корабль вправо
402,я движение перемещение на корабль направо,корабль вправо
403,я двигаться большой корабль на корабль направо,корабль вправо
404,я двигаться на большой корабль направо,корабль вправо
405,бортовый стенка по правый борт,корабль вправо
406,по правый невиновность борт,корабль вправо
407,по правый борт одежда,корабль вправо
408,по правый бортовый стенка,корабль вправо
409,по правый борт,корабль вправо
410,по борт правый,корабль вправо
411,по правый бортовый стенка борт,корабль вправо
412,с корабль по невиновность правый борт,корабль вправо
413,по корабль с правый борт,корабль вправо
414,с невиновность корабль по правый борт,корабль вправо
415,с пилотировать летательный аппарат по правый борт,корабль вправо
416,корабль с по правый борт,корабль вправо
417,с корабль по правый бортовый стенка борт,корабль вправо
418,с корабль по правый борт,корабль вправо
419,с борт по правый корабль,корабль вправо
420,большой корабль направо,корабль вправо
421,на борт правый летательный аппарат,корабль вправо
422,на борт правый борт,корабль вправо
423,на правый борт борт,корабль вправо
424,на бортовый стенка борт правый борт,корабль вправо
425,на борт правый бортовый стенка борт,корабль вправо
426,на борт правый водный средство транспорт,корабль вправо
427,бортовый стенка на борт правый борт,корабль вправо
428,на борт правый борт одежда,корабль вправо
429,борт на правый борт,корабль вправо
430,опереться на иметься направо,корабль вправо
431,опереться на иметься отправляться направо,корабль вправо
432,направо отправляться,корабль вправо
433,отправляться направо,корабль вправо
434,повернуть большой корабль корабль направо,корабль вправо
435,повернуть при движение корабль направо,корабль вправо
436,корабль повернуть направо,корабль вправо
437,повернуть изменить положение корабль направо,корабль вправо
438,направо корабль повернуть,корабль вправо
439,повернуть корабль большой корабль направо,корабль вправо
440,повернуть пилотировать летательный аппарат направо,корабль вправо
441,повернуть корабль направо,корабль вправо
442,не знаю что делать,ничего
443,или что тут писать,ничего
444,тяжело,ничего
445,ты не прав,ничего
446,она права насчет этого,ничего
447,это мое право,ничего
448,по правде говоря корабли не летают,ничего
449,люблю чебуреки,ничего
450,что про лево то сказать,ничего
451,левшей меньше чем правшей,ничего
452,знаешь мем про лев и прав,ничего
453,как судак и тудак,ничего
454,хочу морепродуктов,ничего
455,Мне нравятся осколки.,ничего
456,"Правда в том, что корабль не летает.",ничего
457,Левша меньше правого.,ничего
458,Или что написать.,ничего
459,Я хочу морепродукты.,ничего
460,"Я не знаю, что делать.",ничего
461,Ты ошибаешься.,ничего
462,Это мое право.,ничего
463,"Я не знаю, что сказать про льва.",ничего
464,Как ветчина и лопата,ничего
465,"Ты знаешь, каково это - быть правым.",ничего
466,Это тяжело.,ничего
467,Он прав.,ничего
468,что знать не делать,ничего
469,не знать что изготовить выработать,ничего
470,не знать знать обладать познание что делать,ничего
471,не знать делать что,ничего
472,не аристократия социальный слой что делать,ничего
473,не знать что действие целенаправленный действие,ничего
474,не знать обладать познание знать что делать,ничего
475,не знать что делать,ничего
476,или что тут писать послать письмо,ничего
477,что или тут писать,ничего
478,или что тут писать сочинять текст,ничего
479,или что мочевыделение тут писать,ничего
480,или что тут писать изображать графический знак,ничего
481,или тут что писать,ничего
482,или что тут мочевыделение писать,ничего
483,правовой система ты не право,ничего
484,право не ты,ничего
485,ты не правовой система право,ничего
486,ты не право,ничего
487,ты право не,ничего
488,она право насчёт это,ничего
489,она право это насчёт,ничего
490,право она насчёт это,ничего
491,она право насчёт правовой система это,ничего
492,правовой система она право насчёт это,ничего
493,она правовой система право насчёт это,ничего
494,это мой право,ничего
495,это правовой система мой право,ничего
496,правовой система это мой право,ничего
497,мой это право,ничего
498,это право мой,ничего
499,по правда говорить корабль не лететь передвигаться,ничего
500,не правда говорить корабль по летать,ничего
501,по правда высказать корабль не летать,ничего
502,по правда говорить корабль не лететь передвигаться летать,ничего
503,по правда говорить большой корабль не летать,ничего
504,по правда говорить корабль не летать,ничего
505,большой корабль по правда говорить корабль не летать,ничего
506,по правда большой корабль говорить корабль не летать,ничего
507,по правда летать корабль не говорить,ничего
508,говорить правда по корабль не летать,ничего
509,чебурек любить чебурек,ничего
510,любить чебурек,ничего
511,любить нуждаться в условие любить чебурек,ничего
512,любить нуждаться в условие чебурек,ничего
513,чебурек любить,ничего
514,любить чебурек чебурек,ничего
515,нравиться чебурек,ничего
516,что про левый то сказать,ничего
517,что про левый сторона то сказать,ничего
518,про что левый то сказать,ничего
519,что левый сторона про левый то сказать,ничего
520,то про левый что сказать,ничего
521,что то левый про сказать,ничего
522,что про левый то высказать,ничего
523,что высказать про левый то сказать,ничего
524,левый сторона что про левый то сказать,ничего
525,левша маленький чем правша,ничего
526,левша маленький правша чем,ничего
527,левша маленький чем правша правша,ничего
528,левша чем маленький правша,ничего
529,левша искусный мастер маленький чем правша,ничего
530,левша левша маленький чем правша,ничего
531,левша маленький правша чем правша,ничего
532,левша правша чем маленький,ничего
533,знать обладать познание мем про лев и право,ничего
534,аристократия социальный слой мем про лев и право,ничего
535,знать мем про знать обладать познание лев и право,ничего
536,знать мем про право и лев,ничего
537,знать мем про лев и право,ничего
538,знать знать обладать познание мем про лев и право,ничего
539,знать обладать познание знать мем про лев и право,ничего
540,про мем знать лев и право,ничего
541,знать мем про и лев право,ничего
542,как и судак тудак,ничего
543,как судак и судак тудак,ничего
544,как тудак и судак,ничего
545,как судак судак и тудак,ничего
546,хотеть морепродукт,ничего
547,хотеть иметь желание морепродукт,ничего
548,вожделеть испытывать чувственный влечение хотеть морепродукт,ничего
549,вожделеть испытывать чувственный влечение морепродукт,ничего
550,хотеть вожделеть испытывать чувственный влечение морепродукт,ничего
551,морепродукт хотеть,ничего
552,я осколок прошлое нравиться осколок,ничего
553,я осколок нравиться,ничего
554,я нравиться осколок,ничего
555,я нравиться осколок отколоться кусок,ничего
556,я нравиться нравиться осколок,ничего
557,осколок нравиться я,ничего
558,правда в тот что большой корабль корабль не летать,ничего
559,правда в тот корабль что не летать,ничего
560,правда в тот что корабль большой корабль не летать,ничего
561,правда в тот что пилотировать летательный аппарат не летать,ничего
562,правда в что тот корабль не летать,ничего
563,корабль в тот что правда не летать,ничего
564,правда в тот что корабль не летать,ничего
565,правда в тот что корабль не лететь передвигаться,ничего
566,левша небольшой малый правый,ничего
567,невиновность левша маленький правый,ничего
568,левша малозначительный незначительный правый,ничего
569,малозначительный незначительный левша маленький правый,ничего
570,правый маленький левша,ничего
571,левша маленький правый,ничего
572,левша искусный мастер маленький правый,ничего
573,написать что или,ничего
574,или что написать,ничего
575,или писать картина что написать,ничего
576,писать картина или что написать,ничего
577,или что писать изображать графический знак,ничего
578,что или написать,ничего
579,я вожделеть испытывать чувственный влечение морепродукт,ничего
580,я вожделеть испытывать чувственный влечение хотеть морепродукт,ничего
581,я хотеть вожделеть испытывать чувственный влечение морепродукт,ничего
582,я хотеть иметь желание морепродукт,ничего
583,хотеть я морепродукт,ничего
584,я хотеть морепродукт,ничего
585,морепродукт хотеть я,ничего
586,вожделеть испытывать чувственный влечение я хотеть морепродукт,ничего
587,я что знать не делать,ничего
588,не я знать что делать,ничего
589,я действие целенаправленный действие не знать что делать,ничего
590,я не знать что делать,ничего
591,я не знать обладать познание что делать,ничего
592,я не знать что изготовить выработать,ничего
593,я не действие целенаправленный действие знать что делать,ничего
594,я не знать обладать познание знать что делать,ничего
595,что не знать я делать,ничего
596,ты ошибаться,ничего
597,ошибаться ты,ничего
598,ошибиться ты ошибаться,ничего
599,ты ошибиться ошибаться,ничего
600,ты ошибиться,ничего
601,право мой это,ничего
602,я что знать не сказать про лев,ничего
603,я не знать что сказать про лев,ничего
604,я не лев животное знать что сказать про лев,ничего
605,я не знать что про сказать лев,ничего
606,я не что знать сказать про лев,ничего
607,я не знать что сказать про лев животное,ничего
608,я не знать обладать познание что сказать про лев,ничего
609,я не знать что сказать про знать обладать познание лев,ничего
610,и ветчина как лопата,ничего
611,лопата как ветчина и лопата,ничего
612,как и ветчина лопата,ничего
613,как ветчина и ветчина лопата,ничего
614,как ветчина ветчина и лопата,ничего
615,как ветчина и лопата,ничего
616,ты знать каков это пребывать в состояние правый,ничего
617,это знать каков ты быть правый,ничего
618,ты знать каков это быть правый,ничего
619,знать обладать познание ты знать каков это быть правый,ничего
620,ты каков знать это быть правый,ничего
621,ты знать это каков быть правый,ничего
622,невиновность ты знать каков это быть правый,ничего
623,ты знать каков это существовать быть иметься правый,ничего
624,ты знать каков это быть пребывать в состояние правый,ничего
625,тяжело это,ничего
626,это тяжело,ничего
627,он право,ничего
628,право он,ничего
629,правовой система он право,ничего
630,он правовой система право,ничего